Field_ID,Label,Location,Pair,FieldID,lat,long
1,1-0-1-2,Columbia Basin,1,1201,46.283706,-118.674581
2,0-0-1-2,Columbia Basin,1,1209,46.281286,-118.684761
4,1-0-2-1,Columbia Basin,2,106,47.084598,-119.808285
5,0-0-2-1,Columbia Basin,2,HB2,47.076717,-119.802953
6,0-0-3-5,Columbia Basin,3,V,47.045431,-119.609527
7,1-0-3-5,Columbia Basin,3,NV,47.039913,-119.604025
8,0-1-4-2,Skagit Valley,4,Skagit virgin 1,48.4382,-122.4225
9,1-1-4-2,Skagit Valley,4,Skagit potatoes 1,48.4326,-122.3791
10,0-0-5-4,Columbia Basin,5,983,45.69724886,-119.3547182
11,0-0-6-5,Columbia Basin,6,989,45.67176481,-119.346965
12,0-0-7-6,Columbia Basin,7,990,45.6655718,-119.3518295
13,0-0-8-3,Columbia Basin,8,991,45.65722227,-119.346829
14,1-0-5-4,Columbia Basin,5,14 (988),45.679267,-119.346864
15,1-0-6-5,Columbia Basin,6,530,45.749823,-119.1507605
16,1-0-7-6,Columbia Basin,7,541,45.7378632,-119.1228807
17,1-0-8-3,Columbia Basin,8,641,45.7392845,-119.1337755
18,0-1-9-3,Skagit Valley,9,Morrison - virgin,48.20852,-122.33752
19,1-1-9-3,Skagit Valley,9,Morrison - nonvirgin,48.33374,-122.3423
20,0-1-10-1,Skagit Valley,10,WSU NWREC LTARE Potato Plots,48.439919,-122.393783
21,1-1-10-1,Skagit Valley,10,Ingman - nonvirgin,48.40048,-122.409583
22,0-1-11-4,Skagit Valley,11,Hedlin - virgin,48.387201,-122.489909
23,1-1-11-4,Skagit Valley,11,Hedlin - nonvirgin,48.382227,-122.494621
