Field_ID,Sen_7-29-21,Sen_8-4-21,Sen_8-11-21,Sen_8-18-21,Sen_8-25-21,Sen_9-1-21,Sen_9-8-21,Sen_9-23-21
1,10,8,10,15,10,15,30,40
2,20,25,20,30,30,40,40,50
4,5,10,15,15,8,15,35,70
5,0,0,0,0,0,0,2,5
6,0,0,0,5,5,10,5,5
7,0,0,2,10,8,10,10,10
8,10,10,10,15,8,15,30,35
9,8,15,15,20,35,35,50,70
10,15,15,15,25,35,35,40,45
11,8,10,15,15,10,10,15,15
12,10,15,10,15,8,15,15,20
13,10,10,10,20,10,25,100,100
14,0,0,0,0,0,5,10,10
15,0,2,2,5,5,15,15,15
16,0,0,0,0,5,10,10,20
17,0,0,0,0,0,0,0,5
18,10,15,15,20,10,10,20,30
19,5,10,5,25,30,35,40,80
20,10,15,15,15,5,15,25,30
21,10,15,15,20,10,15,20,35
22,5,8,10,15,15,20,25,30
23,10,10,8,15,10,15,30,35
